Summary,Issue Type,Priority,Story Points,Epic Link,Assignee,Reporter,Sprint,Description
EPIC-1: Authentication & User Management,Epic,High,,,,,,"Complete authentication system including registration, login, OAuth, and account management"
EPIC-2: Feed & Posts,Epic,High,,,,,,"News feed, post creation, reactions, and content interaction"
EPIC-3: Comments & Interactions,Epic,High,,,,,,"Comment system, nested replies, reactions on comments"
EPIC-4: Friend System,Epic,High,,,,,,"Friend requests, suggestions, management, blocking"
EPIC-5: User Profile,Epic,High,,,,,,"Profile pages, editing, privacy settings, activity history"
EPIC-6: Real-time & Notifications,Epic,High,,,,,,"Socket.io real-time events, notification bell, push notifications"
EPIC-7: Short Videos,Epic,Medium,,,,,,"Short video upload, feed, reactions, and discovery"
EPIC-8: Groups,Epic,Medium,,,,,,"Group creation, membership, group posts, admin tools"
EPIC-9: Marketplace,Epic,Medium,,,,,,"Buy/sell listings, categories, messaging sellers"
EPIC-10: Messaging / Chat,Epic,Medium,,,,,,"Direct messages, group chats, real-time messaging"
EPIC-11: Settings & Privacy,Epic,Low,,,,,,"Account settings, privacy controls, notification preferences"
EPIC-12: Infrastructure & DevOps,Epic,High,,,,,,"CI/CD, deployment, environment config, monitoring"
EPIC-13: Live Streaming & Events,Epic,Low,,,,,,"Live video streaming, event scheduling, RSVP"
EPIC-14: Discovery & Search,Epic,Medium,,,,,,"Global search, hashtags, trending, people discovery"
[AUTH-1] User Registration with Email/Password,Story,High,3,EPIC-1,,,Sprint 1,"As a new user, I can register with email and password. AC: form validation, Firebase Auth createUser, save profile to Firestore, redirect to feed"
[AUTH-2] Email Verification Flow,Story,Medium,2,EPIC-1,,,Sprint 1,"As a registered user, I receive a verification email. AC: Firebase sendEmailVerification, block login until verified, resend option"
[AUTH-3] Login with Email/Password,Story,High,2,EPIC-1,,,Sprint 1,"As a user, I can log in with email/password. AC: Firebase signInWithEmailAndPassword, token stored, redirect to feed"
[AUTH-4] Google OAuth Login,Story,High,2,EPIC-1,,,Sprint 1,"As a user, I can log in with Google. AC: Firebase GoogleAuthProvider, create Firestore profile if first login"
[AUTH-5] Forgot Password / Reset,Story,Medium,2,EPIC-1,,,Sprint 1,"As a user, I can reset my password via email. AC: Firebase sendPasswordResetEmail, success/error feedback"
[AUTH-6] Logout Functionality,Story,High,1,EPIC-1,,,Sprint 1,"As a user, I can log out. AC: Firebase signOut, Zustand store cleared, redirect to login"
[AUTH-7] Persistent Auth Session,Story,High,2,EPIC-1,,,Sprint 1,"Auth state persists on page reload. AC: Firebase onAuthStateChanged, authStore hydrated, protected routes work"
[AUTH-8] Protected Route Guard,Story,High,2,EPIC-1,,,Sprint 1,"Unauthenticated users redirected to login. AC: ProtectedRoute wrapper, redirects preserve intended destination"
[AUTH-9] Auth Middleware (Backend),Story,High,3,EPIC-1,,,Sprint 1,"Backend verifies Firebase ID token on every protected endpoint. AC: middleware/auth.ts verifies token, attaches uid to req, returns 401 if invalid"
[AUTH-10] Refresh Token Handling,Story,Medium,2,EPIC-1,,,Sprint 1,"Frontend auto-refreshes ID token before expiry. AC: token refreshed every 55 min, API calls use fresh token"
[AUTH-11] Change Password (Authenticated),Story,Medium,2,EPIC-1,,,Sprint 2,"Logged-in user can change password. AC: re-authenticate then updatePassword, success toast"
[AUTH-12] Change Email Address,Story,Medium,2,EPIC-1,,,Sprint 2,"User can update their email. AC: re-authenticate, updateEmail, re-verification sent"
[AUTH-13] Delete Account,Story,Low,3,EPIC-1,,,Sprint 2,"User can permanently delete account. AC: confirmation dialog, delete Firestore data, delete Firebase Auth user, sign out"
[AUTH-14] Block/Unblock User (Auth Layer),Story,Low,2,EPIC-1,,,Sprint 2,"Blocked users cannot interact. AC: blockedBy array in Firestore, middleware checks block status on friend/message endpoints"
[AUTH-15] Rate Limiting on Auth Endpoints,Task,Medium,2,EPIC-1,,,Sprint 2,"Add express-rate-limit to login and register routes. AC: max 10 req/15min per IP, returns 429 with message"
[FEED-1] News Feed API Endpoint,Story,High,3,EPIC-2,,,Sprint 1,"GET /api/feed returns paginated posts from friends + self. AC: ordered by createdAt desc, limit 20, cursor pagination"
[FEED-2] Render Feed Posts on Frontend,Story,High,3,EPIC-2,,,Sprint 1,"Feed page renders PostCard list. AC: infinite scroll, loading skeleton, empty state"
[FEED-3] Create Text Post,Story,High,3,EPIC-2,,,Sprint 1,"User can create a post with text only. AC: POST /api/posts, saves to Firestore, appears at top of feed"
[FEED-4] Create Post with Image,Story,High,3,EPIC-2,,,Sprint 2,"User can upload image(s) in post. AC: Cloudinary upload, imageUrls saved, images shown in PostCard"
[FEED-5] Create Post with Video,Story,Medium,3,EPIC-2,,,Sprint 2,"User can upload a video in post. AC: Cloudinary video upload, videoUrl saved, video player in PostCard"
[FEED-6] Post Privacy Settings,Story,Medium,2,EPIC-2,,,Sprint 2,"User sets post visibility: Public/Friends/Only Me. AC: privacy field saved, feed query filters by visibility"
[FEED-7] React to Post (Like/Love/Haha/Sad/Angry),Story,High,3,EPIC-2,,,Sprint 2,"User can react to posts. AC: POST /api/posts/:id/react, reaction counts updated, toggling removes reaction"
[FEED-8] Remove Reaction from Post,Story,High,1,EPIC-2,,,Sprint 2,"User can remove their reaction. AC: DELETE /api/posts/:id/react, count decremented"
[FEED-9] Share Post,Story,Medium,3,EPIC-2,,,Sprint 3,"User can share a post. AC: POST /api/posts/:id/share, creates new post with sharedFrom ref, share count updated"
[FEED-10] Delete Own Post,Story,High,2,EPIC-2,,,Sprint 2,"User can delete their posts. AC: DELETE /api/posts/:id, Firestore doc deleted, media removed from Cloudinary"
[FEED-11] Edit Own Post,Story,Medium,2,EPIC-2,,,Sprint 3,"User can edit text of their post. AC: PATCH /api/posts/:id, edited flag shown on PostCard"
[FEED-12] PostCard Component,Task,High,3,EPIC-2,,,Sprint 1,"Build PostCard UI: avatar, name, timestamp, content, media, reaction bar, comment/share counts"
[FEED-13] CreatePost Component,Task,High,3,EPIC-2,,,Sprint 2,"Build CreatePost UI: avatar, text area, media attach button, privacy picker, submit"
[FEED-14] Feed Pagination / Infinite Scroll,Task,Medium,3,EPIC-2,,,Sprint 2,"Implement cursor-based pagination. AC: IntersectionObserver triggers load next page, no duplicate posts"
[FEED-15] Tag Friends in Post,Story,Medium,2,EPIC-2,,,Sprint 3,"User can tag friends in post. AC: TagFriendsModal searches friends, tags saved, tagged users notified"
[FEED-16] Post Location,Story,Low,2,EPIC-2,,,Sprint 4,"User can add location to post. AC: browser geolocation or manual input, location shown on PostCard"
[FEED-17] Moments/Stories Bar,Story,Medium,3,EPIC-2,,,Sprint 3,"MomentsBar shows friend stories at top of feed. AC: horizontal scroll, add story button, story viewer modal"
[FEED-18] Save/Bookmark Post,Story,Medium,2,EPIC-2,,,Sprint 3,"User can bookmark a post. AC: POST /api/posts/:id/save, saved posts accessible from profile"
[FEED-19] Report Post,Story,Medium,2,EPIC-2,,,Sprint 4,"User can report a post. AC: report reason dropdown, saved to Firestore reports collection, toast confirmation"
[FEED-20] Feed Algorithm - Weighted Ranking,Story,Low,5,EPIC-2,,,Sprint 5,"Posts ranked by recency + interaction score. AC: backend computes score, feed returns ranked list"
[FEED-21] Pinned Post on Profile,Story,Low,2,EPIC-2,,,Sprint 4,"User can pin one post to top of their profile. AC: PATCH /api/posts/:id/pin, profile feed shows pinned first"
[FEED-22] Post Seen/View Count,Story,Low,2,EPIC-2,,,Sprint 5,"Track post views. AC: POST /api/posts/:id/view, viewCount shown on PostCard analytics"
[CMT-1] Add Comment to Post,Story,High,3,EPIC-3,,,Sprint 2,"User can comment on a post. AC: POST /api/posts/:id/comments, comment appears instantly (optimistic)"
[CMT-2] List Comments on Post,Story,High,2,EPIC-3,,,Sprint 2,"Comments loaded below post. AC: GET /api/posts/:id/comments, paginated, ordered by createdAt"
